Country Name,Country Code,Energy use (kg of oil equivalent per capita) 2015,"GDP per capita, PPP (current international $) 2015",CO2 per capita (ton CO2/cap) 2015
Curacao,CUW,12650.9,27947.8,46.7
Qatar,QAT,17922.7,123822.1,39.4
Trinidad and Tobago,TTO,14363.5,33698.7,26.7
Bahrain,BHR,10596.6,46912.0,24.6
Kuwait,KWT,9178.9,75042.1,24.3
United Arab Emirates,ARE,7648.4,70212.1,22.1
Saudi Arabia,SAU,6905.8,53897.9,19.3
Oman,OMN,6040.6,41911.1,18.8
Australia,AUS,5483.8,46276.2,16.9
Luxembourg,LUX,6548.4,103750.8,16.5
Canada,CAN,7631.3,44567.9,16.4
United States,USA,6803.9,56803.5,16.3
Brunei Darussalam,BRN,8673.1,80177.8,15.6
Estonia,EST,4173.3,29397.1,15.1
Kazakhstan,KAZ,4434.6,25123.3,14.6
Turkmenistan,TKM,4893.4,16011.6,13.4
"Korea, Rep.",KOR,5413.3,35760.7,12.6
Russian Federation,RUS,4942.9,24061.1,11.8
Iceland,ISL,17478.9,48728.1,11.6
Barbados,BRB,1438.8,17386.9,11.2
Czech Republic,CZE,3860.0,33691.4,10.2
Netherlands,NLD,4233.0,50302.1,10.0
Germany,DEU,3817.5,47683.8,9.6
Japan,JPN,3428.6,40396.2,9.6
Seychelles,SYC,2410.8,26546.4,9.5
Singapore,SGP,5121.8,89007.5,9.3
Belgium,BEL,4687.8,46213.3,9.2
Norway,NOR,5817.6,60385.1,8.8
South Africa,ZAF,2695.4,13185.3,8.6
Finland,FIN,5924.7,42535.5,8.4
Libya,LBY,2808.6,15403.6,8.3
Israel,ISR,2777.9,35436.8,8.3
Malaysia,MYS,3003.5,27116.6,8.1
Ireland,IRL,2819.9,69056.0,8.1
Austria,AUT,3800.3,49879.3,8.0
Poland,POL,2490.2,26856.0,8.0
"Iran, Islamic Rep.",IRN,3060.4,17817.6,7.9
New Zealand,NZL,4444.7,37475.2,7.8
"Bahamas, The",BHS,2101.4,30696.3,7.8
China,CHN,2236.7,14455.0,7.8
Slovenia,SVN,3174.9,31636.8,6.9
Bosnia and Herzegovina,BIH,2246.9,12014.0,6.8
Bulgaria,BGR,2477.7,18186.5,6.8
Belarus,BLR,2928.5,18389.7,6.4
Slovak Republic,SVK,3003.7,29924.1,6.4
United Kingdom,GBR,2764.0,42509.9,6.3
Greece,GRC,2182.1,26902.5,6.3
Antigua and Barbuda,ATG,1737.6,22422.0,6.3
"Hong Kong SAR, China",HKG,1970.5,57235.2,6.2
Serbia,SRB,1859.4,14922.1,6.0
Denmark,DNK,2816.6,49058.5,6.0
Italy,ITA,2481.8,36909.3,6.0
Spain,ESP,2571.3,34912.5,5.9
Mongolia,MNG,1828.1,12100.1,5.8
Cyprus,CYP,1712.2,31578.4,5.5
